datetime,open,high,low,close
2022-07-26,1719.68994,1728.36084,1713.19995,1717.00049
2022-07-27,1717.41003,1740.59998,1711.46448,1733.89221
2022-07-28,1734.60999,1757.42505,1733.59497,1755.10815
2022-07-29,1755.81006,1768.17004,1752.18506,1765.21997
2022-08-01,1765.04504,1775.22498,1758.04797,1771.72925
2022-08-02,1772.22998,1788.245,1759.74658,1759.74658
2022-08-03,1760.53491,1772.89502,1754.33496,1764.896
2022-08-04,1765.34045,1795.28503,1763.0,1790.96704
2022-08-05,1791.16003,1795.28503,1764.88,1774.15002
2022-08-08,1773.57495,1790.255,1770.93506,1788.52393
2022-08-09,1789.20996,1800.44995,1782.84998,1794.08459
2022-08-10,1794.21497,1807.89502,1787.32495,1792.12781
2022-08-11,1792.39001,1799.39502,1783.245,1789.45044
2022-08-12,1790.06006,1802.86499,1784.51501,1801.76123
2022-08-15,1802.04504,1802.53247,1772.75,1779.35901
2022-08-16,1779.745,1783.37,1771.32996,1775.54175
2022-08-17,1775.97986,1782.63,1759.58496,1761.05005
2022-08-18,1761.625,1772.59497,1755.36829,1758.19556
2022-08-19,1759.29504,1759.88,1745.19495,1747.82898
2022-08-22,1747.04504,1749.3075,1727.505,1735.70496
2022-08-23,1736.40002,1754.2821,1730.51501,1747.67456
2022-08-24,1748.54504,1755.8844,1742.28503,1750.88818
2022-08-25,1751.54504,1765.92505,1749.70996,1758.43738
2022-08-26,1758.54504,1759.31494,1733.82996,1736.85999
2022-08-29,1736.19495,1745.63,1720.07996,1737.82373
2022-08-30,1738.36499,1740.92505,1720.85498,1723.5498
2022-08-31,1723.83008,1726.85999,1709.10498,1710.70496
2022-09-01,1711.09497,1711.81006,1688.34998,1696.08997
2022-09-02,1696.34998,1718.31006,1694.64001,1711.43994
2022-09-05,1712.995,1716.34497,1707.47498,1710.2063
2022-09-06,1710.56494,1727.245,1699.30005,1701.15308
2022-09-07,1701.60999,1719.81995,1690.90002,1717.69348
2022-09-08,1718.39502,1728.79504,1703.5,1707.27502
2022-09-09,1708.84497,1729.94495,1708.21997,1716.05005
2022-09-12,1717.04504,1735.37,1711.97498,1724.07019
2022-09-13,1724.75,1732.34497,1696.69995,1701.55396
2022-09-14,1701.85999,1707.495,1693.255,1695.79504
2022-09-15,1696.05505,1698.62,1660.03503,1663.74084
2022-09-16,1664.27002,1680.69495,1653.84998,1674.94482
2022-09-19,1675.44495,1680.16003,1659.67053,1675.77576
2022-09-20,1675.46997,1679.34497,1659.59998,1663.10889
2022-09-21,1663.67004,1688.15002,1654.14502,1673.73682
2022-09-22,1675.05505,1685.495,1655.52502,1670.53455
2022-09-23,1671.54504,1676.59497,1639.59497,1643.08997
2022-09-26,1645.39502,1650.02002,1620.80005,1621.5675
2022-09-27,1621.995,1642.94495,1621.77002,1628.80237
2022-09-28,1629.26001,1663.17004,1614.34998,1659.44495
2022-09-29,1659.88,1665.12,1641.05005,1660.29175
2022-09-30,1661.125,1675.56995,1658.92505,1659.67004
2022-10-03,1661.29504,1701.79504,1659.09998,1699.22253
2022-10-04,1699.39502,1729.73499,1694.73499,1726.24084
2022-10-05,1726.42493,1728.09998,1700.15002,1715.81055
2022-10-06,1716.06006,1726.09497,1706.52502,1710.84998
2022-10-07,1711.09998,1715.39502,1690.34998,1694.52002
2022-10-10,1696.79504,1700.33496,1665.30005,1667.95642
2022-10-11,1668.39502,1684.44495,1660.44995,1665.3075
2022-10-12,1666.495,1678.89502,1660.94995,1672.50525
2022-10-13,1673.29504,1682.84497,1642.25,1665.79724
2022-10-14,1665.89502,1672.01501,1639.89502,1641.75842
2022-10-17,1644.09497,1668.69495,1643.69495,1649.9447
2022-10-18,1650.495,1661.26501,1645.60999,1651.82727
2022-10-19,1651.995,1654.89502,1627.25,1628.48828
2022-10-20,1629.92993,1645.82996,1621.93005,1627.6637
2022-10-21,1628.09998,1659.08008,1617.20996,1656.66003
2022-10-24,1658.19495,1670.54504,1643.64001,1648.59998
2022-10-25,1649.69995,1662.89001,1637.81995,1652.52393
2022-10-26,1653.21497,1675.12,1649.14502,1664.4884
2022-10-27,1664.5,1671.08997,1654.80505,1662.93994
2022-10-28,1663.30005,1667.43994,1637.39001,1641.76001
2022-10-31,1643.69495,1645.79504,1631.76501,1633.12244
2022-11-01,1633.39514,1657.125,1630.92505,1647.5033
2022-11-02,1647.77002,1669.60498,1634.40002,1634.88696
2022-11-03,1635.80005,1641.32495,1616.17505,1629.15002
2022-11-04,1629.40002,1682.17383,1628.23499,1680.27002
2022-11-07,1681.29504,1682.08496,1666.43506,1674.68005
2022-11-08,1674.75,1717.31006,1664.32495,1712.52002
2022-11-09,1712.60498,1722.94495,1701.78503,1706.31995
2022-11-10,1706.41504,1757.52002,1703.32495,1754.86035
2022-11-11,1754.92004,1773.17004,1746.85498,1770.68994
2022-11-14,1771.41504,1775.35999,1752.89502,1771.80005
2022-11-15,1771.875,1786.68005,1766.56494,1778.25
2022-11-16,1778.33997,1785.495,1769.82495,1773.77002
2022-11-17,1773.82251,1775.20496,1754.125,1760.87
2022-11-18,1760.745,1767.98499,1747.03503,1749.73999
2022-11-21,1750.82495,1753.51501,1732.03003,1737.80811
2022-11-22,1738.48499,1749.98499,1736.61499,1740.23999
2022-11-23,1740.29504,1753.53821,1728.25,1749.28003
2022-11-24,1749.52502,1759.08496,1749.02502,1754.95996
2022-11-25,1756.4801,1761.57996,1745.45996,1756.14001
2022-11-28,1755.0,1764.08496,1739.14001,1740.75
2022-11-29,1740.81995,1759.32996,1738.97998,1749.72998
2022-11-30,1749.82495,1770.38501,1744.40503,1768.44995
2022-12-01,1768.53503,1804.31995,1767.36499,1802.89001
2022-12-02,1803.15002,1804.93005,1778.255,1797.81995
2022-12-05,1797.91504,1810.33496,1765.32495,1768.39001
2022-12-06,1768.66504,1781.46497,1765.72266,1770.91003
2022-12-07,1771.13501,1790.92004,1768.32495,1786.21997
2022-12-08,1786.28503,1795.17505,1780.95996,1789.22998
2022-12-09,1789.30005,1806.44995,1787.96497,1796.63
2022-12-12,1797.34998,1798.0,1777.21997,1781.15002
2022-12-13,1781.20996,1824.87,1779.81494,1810.29004
2022-12-14,1810.48999,1814.18506,1796.07495,1807.27002
2022-12-15,1807.39502,1809.09497,1772.0,1776.66003
2022-12-16,1776.72498,1794.68506,1773.88501,1792.33997
2022-12-19,1793.125,1799.10498,1783.47998,1787.43994
2022-12-20,1787.48999,1821.59998,1784.21497,1817.40845
2022-12-21,1818.05505,1824.38501,1811.23999,1814.13
2022-12-22,1814.20496,1821.09998,1784.11499,1792.56995
2022-12-23,1792.64502,1803.59998,1789.61621,1797.91003
2022-12-26,1798.57495,1798.77991,1797.61462,1797.61462
2022-12-27,1796.67004,1833.3927,1796.20496,1813.93005
2022-12-28,1814.0,1815.18005,1796.56006,1804.08997
2022-12-29,1804.15503,1820.52002,1802.02002,1814.89001
2022-12-30,1815.14001,1826.73499,1809.83997,1824.40002
2023-01-02,1823.85498,1823.94495,1823.68994,1823.68994
2023-01-03,1826.13501,1850.69495,1824.42004,1839.48999
